Date,Money_Supply_M2,M2_Growth
2014-10-01,18496197.88,27.30092361007681
2014-11-01,18804279.94,27.61743812444848
2014-12-01,18913028.98,20.549894323643827
2015-01-01,18965533.5,22.40811654319006
2015-02-01,18865922.34,22.313978751318864
2015-03-01,19132363.3,7.891790261512388
2015-04-01,19608078.85,9.6241119988552
2015-05-01,19196565.14,8.931772079661137
2015-06-01,18811429.4,7.02517135769114
2015-07-01,18424703.08,1.781327556204615
2015-08-01,18491571.96,3.311205762439151
2015-09-01,18718003.11,2.845285560475741
2015-10-01,18204395.78,-1.577632883758906
2015-11-01,18367238.54,-2.324159188198105
2015-12-01,20029831.12,5.904935381746568
2016-01-01,19799457.54,4.397050259619628
2016-02-01,20620803.08,9.301854997458857
2016-03-01,20470436.0,6.993765898225446
2016-04-01,20727909.47,5.711067507258605
2016-05-01,21035132.36,9.577584357364866
2016-06-01,22078013.46,17.364890198083515
2016-07-01,22535192.76,22.309665790283127
2016-08-01,22057000.95,19.28137314508764
2016-09-01,22013780.89,17.60752875524019
2016-10-01,22180072.3,21.83910176446404
2016-11-01,22386048.43,21.88031631019478
2016-12-01,23591732.58,17.78298298503076
2017-01-01,23096526.55,16.652319909972647
2017-02-01,22210954.84,7.71139588419949
2017-03-01,22304267.84,8.958440553000436
2017-04-01,21768241.12,5.018989741853597
2017-05-01,22047770.68,4.814033506751847
2017-06-01,21980582.35,-0.4413037892948113
2017-07-01,22195019.77,-1.509518882855132
2017-08-01,21851454.31,-0.9318884306436126
2017-09-01,21953993.84,-0.2715891935999082
2017-10-01,22500618.01,1.4451968670994964
2017-11-01,22311118.02,-0.33471923476938725
2017-12-01,24140634.21,2.326669430228012
2018-01-01,23963031.48,3.7516677155942313
2018-02-01,24143010.28,8.698659980707069
2018-03-01,24424422.14,9.505599175946777
2018-04-01,24474153.99,12.43055355314806
2018-05-01,25169014.19,14.156730652280181
2018-06-01,24814004.52,12.890569161831134
2018-07-01,24971101.93,12.50768050115596
2018-08-01,24859346.47,13.765180648060959
2018-09-01,25560662.33,16.428302368513357
2018-10-01,26041903.87,15.73861597235302
2018-11-01,25467425.55,14.146792317492295
2018-12-01,27068575.06,12.12868238891225
2019-01-01,26771087.05,11.71828185571453
2019-02-01,26546639.71,9.955798395161853
2019-03-01,26834815.12,9.868782017374688
2019-04-01,27579445.15,12.688042909547793
2019-05-01,27813701.61,10.507711585504875
2019-06-01,27898828.27,12.431785234477744
2019-07-01,28277141.77,13.239463157323318
2019-08-01,27556798.88,10.8508580998107
2019-09-01,27669957.17,8.252113395060068
2019-10-01,27811790.84,6.796304059930458
2019-11-01,28415371.99,11.57536098107881
2019-12-01,28783194.45,6.334354084762084
2020-01-01,29132380.36,8.820311650363099
2020-02-01,29719364.53,11.95151196030604
2020-03-01,31010122.07,15.559290911187018
2020-04-01,31958484.85,15.877910799811733
2020-05-01,32719162.68,17.636850854243423
2020-06-01,32593522.49,16.827567719208723
2020-07-01,33337326.82,17.894966510966427
2020-08-01,34262588.49,24.33442882535566
2020-09-01,34965447.66,26.366106912192212
2020-10-01,35729184.39,28.467758856480742
2020-11-01,36517795.8,28.5142274852197
2020-12-01,37828875.85,31.426954418535715
2021-01-01,37544491.37,28.875467455965897
2021-02-01,38099427.26,28.197314655031747
2021-03-01,38288212.81,23.47004866208191
2021-04-01,38462975.04,20.35293669436897
2021-05-01,38692973.28,18.257834585881906
2021-06-01,38863053.22,19.23551138703572
2021-07-01,39733556.72,19.18639108209097
2021-08-01,40810092.82,19.109777219286794
2021-09-01,40449202.79,15.683354559974205
2021-10-01,41474377.37,16.079832434148656
2021-11-01,42600088.22,16.655694262905097
2021-12-01,44443065.59,17.484499846695822
2022-01-01,45089157.64,20.095268292883528
2022-02-01,44739337.92,17.427849019061625
2022-03-01,45663905.91,19.263612894654703
2022-04-01,47146645.19,22.576699126807842
2022-05-01,48513506.45,25.380663044253904
2022-06-01,48897446.57,25.819879084631523
2022-07-01,48290293.34,21.535289881796427
2022-08-01,49315851.17,20.842291115377076
2022-09-01,49331836.37,21.959971933478982
2022-10-01,50628734.53,22.072319683867512
2022-11-01,51684794.02,21.325556306559236
2022-12-01,51761777.98,16.467613772454868
2023-01-01,52835098.6,17.179165381276352
2023-02-01,52921785.2,18.28915594287812
2023-03-01,54185866.75,18.662356340686514
2023-04-01,55649344.64,18.034580012499934
2023-05-01,55550398.02,14.505015375980923
2023-06-01,64358217.2,31.61876890210793
2023-07-01,65319117.73,35.26345195317877
2023-08-01,65638978.68,33.09914991374971
2023-09-01,66174923.16,34.1424281546566
2023-10-01,72661232.78,43.51777395689136
2023-11-01,71342958.51,38.03471574713648
2023-12-01,78831122.0,52.29600890150876
2024-01-01,93772008.85,77.48052210505382
2024-02-01,95635011.58,80.710101177766
2024-03-01,91945344.91,69.68510503709899
2024-04-01,96963523.96,74.24019022553577
2024-05-01,98986356.49,78.1919842489006
2024-06-01,101450517.62,57.63413287961618
2024-07-01,106347375.9,62.812021343571224
2024-08-01,107182219.49,63.29050458345735
2024-09-01,109401745.36,65.3220587736607
2024-10-01,107988822.02,48.61958418316832
2024-11-01,108946684.26,52.70839131899634
2024-12-01,113337685.23,43.772766839472354
2025-01-01,111098003.76,18.476723621987333
2025-02-01,110698746.06,15.75127584671121
2025-03-01,114203996.21,24.208567950653403
